Year,alfalfa,almond,orange,pomegranates,tangerine,grape (table),grape (raisin)
2010,124,3460,1358,1510,1040,1650,3212
2011,250,3700,1277,1670,1380,1704,3245
2012,217,5170,1332,1280,1510,2070,3967
2013,233,6040,1290,1120,1820,1650,3501
2014,222,8050,1718,987,1900,1564,3790
2015,170,7250,1394,1100,1490,1524,3739
2016,154,4400,1331,671,1770,1535,3065
2017,191,4640,1331,1400,1740,2104,3806
2018,203,4470,1386,916,1510,1745,4342
2019,207,4940,1349,3160,1260,1732,3957
2020,208,3460,1496,1280,962,1839,3604
