"",,Harvested,Production,,,,,Value,,,
Crop,Year,Acreage,Per Acre,,,Total,Unit,Per Unit,,,Total
Alfalfa - Hay,2013,"8 2,200",8.75,,7,"19,000",Ton,233.00,,1,"67,527,000"
"",2012,"1 01,000",8.42,,8,"50,000",Ton,217.00,,1,"84,450,000"
"- Silagea",2013,X,2.20,,1,"21,000",Ton,66.70,,,"8 ,071,000"
"",2012,X,3.96,,2,"67,000",Ton,57.80,,,"1 5,433,000"
Barley - Grain,2013,"6 ,470",2.60,,,"1 6,800",Ton,238.00,,,"3 ,998,000"
"",2012,"5 ,050",2.00,,,"1 0,100",Ton,264.00,,,"2 ,666,000"
Beans - Dry,2013,"8 ,180",1.64,,,"1 3,400",Ton,1030.00,,,"1 3,802,000"
"",2012,"9 ,140",1.68,,,"1 5,400",Ton,1050.00,,,"1 6,170,000"
Corn - Grain,2013,"9 ,340",6.98,,,"6 5,200",Ton,237.00,,,"1 5,452,000"
"",2012,"1 2,800",6.00,,,"7 6,800",Ton,272.00,,,"2 0,890,000"
"- Silage",2013,"1 66,000",28.00,4,",648,000",,Ton,51.80,,"240,766,000",
"",2012,"1 60,000",29.00,4,",640,000",,Ton,52.00,,"241,280,000",
Cotton - Lint b,2013,"1 6,700",1740.00,,,"5 8,200",Bale,95.00,,,"2 7,369,000"
"",2012,"2 0,400",1700.00,,,"7 0,400",Bale,89.00,,,"3 1,119,000"
"- Seed",2013,X,X,,,"2 3,300",Ton,395.00,,,"9 ,204,000"
"",2012,X,X,,,"2 8,100",Ton,368.00,,,"1 0,341,000"
Hay - other c,2013,"1 9,900",2.11,,,"4 2,000",Ton,90.00,,,"3 ,780,000"
"",2012,X,X,,,X,X,X,,,X
Pasture & Rangeland,2013,"9 3,000",X,,,X,Acre,235.00,,,"2 1,855,000"
"- Irrigated",2012,"9 3,000",X,,,X,Acre,162.00,,,"1 5,066,000"
"- Native",2013,"6 15,000",X,,,X,Acre,18.00,,,"1 1,070,000"
"",2012,"6 15,000",X,,,X,Acre,18.00,,,"1 1,070,000"
"- Other",2013,"7 0,100",X,,,X,Acre,25.00,,,"1 ,753,000"
"",2012,"7 6,300",X,,,X,Acre,25.00,,,"1 ,908,000"
Silage - Small Grain d,2013,"1 86,000",18.50,3,",441,000",,Ton,43.40,,1,"49,339,000"
"",2012,"1 68,000",17.00,2,",856,000",,Ton,42.00,,"119,952,000",
Sudan Grass,2013,"1 2,200",2.64 e,,,"3 2,200",Ton,130.00,,,"4 ,186,000"
"",2012,"1 3,600",16.1 f,,2,"19,000",Ton,34.20,,,"7 ,490,000"
Wheat – Grain,2013,"2 2,300",2.75,,,"6 1,300",Ton,280.00,,,"1 7,164,000"
"",2012,"4 4,800",3.85,,1,"72,000",Ton,265.00,,,"4 5,580,000"
Miscellaneous g,2013,"3 7,400",X,,,X,X,X,,,"2 0,399,000"
"",2012,"2 9,000",X,,,X,X,X,,,"4 2,425,000"
TOTAL,2013,"1 ,344,790",,,,,,,$,"715,735,000",
"",2012,"1 ,348,090",,,,,,,$,"765,840,000",
"",,Harvested,Production,,,Value,
Crop,Year,Acreage,Per Acre,Total,Unit,Per Unit,Total
Almonds - Meats,2013,"38,100",1.07,"40,800",Ton,"6,040.00","246,432,000"
"",2012,"33,800",1.03,"34,800",Ton,"5,170.00","179,916,000"
"- Hulls",2013,X,X,"74,700",Ton,135.00,"10,084,000"
"",2012,X,X,"71,000",Ton,105.00,"7,455,000"
Apricots,2013,767,5.10,"3,910",Ton,"1,500.00","5,865,000"
"",2012,708,4.97,"3,520",Ton,"1,730.00","6,090,000"
Blueberries - Fresh,2013,"1,330",2.30,"2,070",Ton,"5,410.00","11,199,000"
"",2012,"1,340",3.51,"4,700",Ton,"4,320.00","20,304,000"
"- Processed",2013,X,X,985,Ton,"1,700.00","1,674,000"
"",2012,X,X,X,Ton,X,X
Cherries,2013,"2,520",4.95,"12,500",Ton,"4,510.00","56,375,000"
"",2012,"2,040",2.81,"5,730",Ton,"5,320.00","30,484,000"
Grapes - Total,2013,"62,200",X,X,X,X,"984,879,000"
"",2012,"54,360",X,X,X,X,"863,043,000"
Raisin Varieties,2013,"16,600",13.10,X,X,X,X
"",2012,"15,100",13.10,X,X,X,X
"- Canned",2013,X,X,"19,600",Ton,371.00,"7,272,000"
"",2012,X,X,"17,900",Ton,371.00,"6,641,000"
"- Crushed a",2013,X,X,"27,700",Ton,260.00,"7,202,000"
"",2012,X,X,"19,800",Ton,256.00,"5,069,000"
"- Dried b",2013,X,X,"14,900",Ton,"1,530.00","22,797,000"
"",2012,X,X,"9,560",Ton,"1,900.00","18,164,000"
"- Fresh",2013,X,X,"87,300",Ton,"1,340.00","116,982,000"
"",2012,X,X,"76,700",Ton,"1,440.00","110,448,000"
Table Varieties,2013,"34,700",16.90,X,X,X,X
"",2012,"30,000",13.60,X,X,X,X
"- Crushed",2013,X,X,"60,500",Ton,220.00,"13,310,000"
"",2012,X,X,"41,900",Ton,270.00,"11,313,000"
"- Fresh",2013,X,X,"526,000",Ton,"1,430.00","752,180,000"
"",2012,X,X,"366,000",Ton,"1,800.00","658,800,000"
Wine Varieties Crushed c,2013,"10,900",16.20,"177,000",Ton,368.00,"65,136,000"
"",2012,"9,260",14.80,"137,000",Ton,384.00,"52,608,000"
Grapefruit - Fresh d,2013,"2,180",12.70,"27,700",Ton,607.00,"16,814,000"
"",2012,"1,730",13.90,"24,000",Ton,566.00,"13,584,000"
Kiwifruit,2013,"2,450",12.50,"30,600",Ton,"1,710.00","52,326,000"
"",2012,"1,870",3.36,"6,280",Ton,843.00,"5,294,000"
Lemons - Fresh,2013,"6,930",12.10,"83,900",Ton,894.00,"75,007,000"
"",2012,"3,960",12.80,"50,700",Ton,958.00,"48,571,000"
Nectarines - Fresh,2013,"11,400",11.80,"135,000",Ton,"1,740.00","234,900,000"
"",2012,"11,400",8.47,"96,600",Ton,"1,230.00","118,818,000"
"",,Harvested,Production,,,Value,
Crop,Year,Acreage,Per Acre,Total,Unit,Per Unit,Total
Olives,2013,"12,300",4.68,"57,600",Ton,"1,000.00","57,600,000"
