"",,Harvested,Production,,,Value,
Crop,Year,Acreage,Per Acre,Total,Unit,Per Unit,Total
Almonds - Meats,2015,"45,300",0.95,"43,000",Ton,"7,250.00","311,750,000"
"",2014,"46,400",1.05,"48,700",Ton,"8,050.00","392,035,000"
"- Hulls",2015,X,X,"86,100",Ton,130.00,"11,193,000"
"",2014,X,X,"97,500",Ton,152.00,"14,820,000"
Apricots,2015,758,8.04,"6,090",Ton,"2,720.00","16,565,000"
"",2014,587,6.14,"3,600",Ton,"2,790.00","10,044,000"
Blueberries - Fresh,2015,"1,410",6.77,"8,130.00",Ton,"4,530.00","36,829,000"
"",2014,"1,410",3.36,"4,370.00",Ton,"4,510.00","19,709,000"
"- Processed",2015,X,X,"1,420",Ton,"1,820.00","2,584,000"
"",2014,X,X,368,Ton,"1,700.00","626,000"
Cherries,2015,"2,220",1.78,"3,950",Ton,"4,450.00","17,578,000"
"",2014,"2,260",0.51,"1,150",Ton,"8,140.00","9,361,000"
Grapes - Total,2015,"51,160",X,X,X,X,"643,621,000"
"",2014,"60,500",X,X,X,X,"723,511,000"
Raisin Varieties,2015,"12,300",11.20,X,X,X,X
"",2014,"15,200",9.15,X,X,X,X
"- Canned",2015,X,X,"17,500",Ton,525.00,"9,188,000"
"",2014,X,X,"16,700",Ton,425.00,"7,098,000"
a- Crushed,2015,X,X,"6,950",Ton,204.00,"1,418,000"
"",2014,X,X,"11,800",Ton,210.00,"2,478,000"
b- Dried,2015,X,X,"2,580",Ton,"1,600.00","4,128,000"
"",2014,X,X,"11,500",Ton,"1,775.00","20,412,000"
"- Fresh",2015,X,X,"101,000",Ton,"1,410.00","142,410,000"
"",2014,X,X,"57,600",Ton,"1,380.00","79,488,000"
Table Varieties,2015,"30,000",11.80,X,X,X,X
"",2014,"34,100",12.90,X,X,X,X
"- Crushed",2015,X,X,"28,500",Ton,174.00,"4,959,000"
"",2014,X,X,"42,100",Ton,184.00,"7,746,000"
"- Fresh",2015,X,X,"325,000",Ton,"1,350.00","438,750,000"
"",2014,X,X,"399,000",Ton,"1,380.00","550,620,000"
cWine Varieties Crushed,2015,"8,860",16.30,"144,000",Ton,297.00,"42,768,000"
"",2014,"11,200",16.00,"179,000",Ton,311.00,"55,669,000"
d Grapefruit - Fresh,2015,"2,300",16.70,"38,400",Ton,707.00,"27,149,000"
"",2014,"2,240",10.90,"24,400",Ton,651.00,"15,884,000"
Kiwifruit,2015,"1,880",16.00,"30,100",Ton,"1,930.00","58,093,000"
"",2014,"2,380",26.70,"63,500",Ton,"1,650.00","104,775,000"
Lemons - Fresh,2015,"7,850",10.10,"79,300",Ton,"1,120.00","88,816,000"
"",2014,"7,210",12.00,"86,500",Ton,"1,210.00","104,665,000"
Nectarines - Fresh,2015,"9,170",7.98,"73,200",Ton,"1,620.00","118,584,000"
"",2014,"9,240",8.74,"80,800",Ton,"1,790.00","144,632,000"
"",,Harvested,Production,,,Value,,
Crop,Year,Acreage,Per Acre,Total,Unit,Per Unit,,Total
Olives,2015,"9,040",4.71,"42,600",Ton,"1,050.00",,"44,730,000"
"",2014,"11,700",1.52,"17,800",Ton,"1,080.00",,"19,224,000"
Oranges - Navels,2015,"72,700",15.50,"872,000",Ton,705.00,,"614,760,000"
"",2014,"79,500",13.70,"843,000",Ton,896.00,,"755,328,000"
"- Processed",2015,X,X,"253,000",Ton,89.00,,"22,517,000"
"",2014,X,X,"244,000",Ton,75.00,,"18,300,000"
Oranges - Valencia,2015,"14,300",21.60,"239,000",Ton,689.00,,"164,671,000"
"",2014,"16,300",17.40,"218,000",Ton,822.00,,"179,196,000"
"- Processed",2015,X,X,"69,300",Ton,248.00,,"17,186,000"
"",2014,X,X,"66,000",Ton,154.00,,"10,164,000"
Peaches - Cling,2015,"1,180",14.00,"16,500",Ton,460.00,,"7,590,000"
"",2014,"1,200",12.70,"15,200",Ton,380.00,,"5,776,000"
Peaches - Freestone,2015,"10,900",10.30,"87,000",Ton,"1,800.00",,"156,600,000"
"",2014,"11,300",10.30,"82,600",Ton,"1,890.00",,"156,114,000"
"- Processed",2015,X,X,"24,800",Ton,405.00,,"10,044,000"
"",2014,X,X,"33,100",Ton,440.00,,"14,564,000"
Pears & Asian Pears,2015,294,3.45,"1,010",Ton,"1,280.00",,"1,293,000"
"",2014,148,10.00,"1,520",Ton,"2,600.00",,"3,952,000"
Pecans,2015,997,0.87,867,Ton,"4,170.00",,"3,615,000"
"",2014,"1,060",0.40,424,Ton,"3,910.00",,"1,658,000"
Persimmons,2015,936,10.40,"9,730",Ton,"1,730.00",,"16,833,000"
"",2014,810,7.03,"5,690",Ton,682.00,,"3,881,000"
Pistachio Nuts,2015,"51,700",0.64,"33,100",Ton,"6,290.00",,"208,199,000"
"",2014,"45,400",1.28,"58,100",Ton,"6,450.00",,"374,745,000"
Plums & Pluots,2015,"8,830",5.70,"50,300",Ton,"1,480.00",,"74,444,000"
"",2014,"9,260",7.79,"72,100",Ton,"1,420.00",,"102,382,000"
Pomegranates,2015,"4,850",7.50,"36,400",Ton,"1,100.00",,"40,040,000"
"",2014,"5,650",1.09,"6,160",Ton,987.00,,"6,080,000"
ePrunes - Dried Plums,2015,"3,270",2.37,"7,750",Ton,"2,540.00",,"19,685,000"
"",2014,"3,440",1.16,"3,990",Ton,"2,250.00",,"8,978,000"
Quince,2015,98,7.27,712,Ton,"2,090.00",,"1,488,000"
"",2014,86,6.65,572,Ton,"2,000.00",,"1,144,000"
fTangerines,2015,"24,700",8.20,"203,000",Ton,"1,490.00",,"302,470,000"
"",2014,"21,700",7.09,"154,000",Ton,"1,900.00",,"292,600,000"
Walnuts,2015,"36,500",1.85,"67,500",Ton,"2,920.00",,"197,100,000"
"",2014,"40,300",2.27,"91,500",Ton,"2,890.00",,"264,435,000"
