"",,,Harvested,Production,,,Value,,
Crop,,Year,,,Total,Unit,,,Total
"",,,Acreage,Per Acre,,,Per Unit,,
Alfalfa - Hay,,2017,"50,000",9.05,"452,000",Ton,191.00,,"86,332,000"
"",,2016,"56,800",7.85,"446,000",Ton,154.00,,"68,684,000"
a- Silage,,2017,X,10.30,"515,000",Ton,59.00,,"30,385,000"
"",,2016,X,12.00,"682,000",Ton,38.00,,"25,916,000"
Barley - Grain,,2017,"6,300",1.56,"9,830",Ton,194.00,,"1,907,000"
"",,2016,"6,500",1.87,"12,200",Ton,182.00,,"2,220,000"
Beans - Dry,,2017,"8,960",1.49,"13,400",Ton,800.00,,"10,720,000"
"",,2016,"11,400",1.27,"14,500",Ton,888.00,,"12,876,000"
Corn - Grain,,2017,"3,830",4.97,"19,000",Ton,186.00,,"3,534,000"
"",,2016,"5,300",4.94,"26,200",Ton,208.00,,"5,450,000"
"- Silage",,2017,"151,000",23.80,"3,594,000",Ton,44.80,,"161,011,000"
"",,2016,"158,000",26.00,"4,108,000",Ton,44.00,,"180,752,000"
bCotton - Lint,,2017,"20,800","1,350.00","56,700",Bale,85.00,,"24,098,000"
"",,2016,"13,600","1,670.00","45,900",Bale,98.10,,"22,514,000"
"- Seed",,2017,X,X,"22,600",Ton,252.00,,"5,695,000"
"",,2016,X,X,"18,300",Ton,271.00,,"4,959,000"
cHay - other,,2017,"14,100",3.13,"44,100",Ton,130.00,,"5,733,000"
"",,2016,"22,000",3.38,"74,400",Ton,93.00,,"6,919,000"
Pasture & Rangeland,,2017,"93,000",X,X,Acre,245.00,,"22,785,000"
"- Irrigated",,2016,"93,000",X,X,Acre,291.00,,"27,063,000"
"- Native",,2017,"615,000",X,X,Acre,20.00,,"12,300,000"
"",,2016,"615,000",X,X,Acre,20.00,,"12,300,000"
"- Other",,2017,"59,600",X,X,Acre,40.00,,"2,384,000"
"",,2016,"63,000",X,X,Acre,40.00,,"2,520,000"
dSilage - Small Grain,,2017,"202,000",18.40,"3,717,000",Ton,24.80,,"92,182,000"
"",,2016,"239,000",18.50,"4,422,000",Ton,25.50,,"112,761,000"
eSudan Grass,,2017,"9,080",3.51,"31,900",Ton,107.00,,"3,413,000"
"",,2016,"11,400",4.15,"47,300",Ton,77.00,,"3,642,000"
Wheat – Grain,,2017,"20,000",2.38,"47,600",Ton,189.00,,"8,996,000"
"",,2016,"23,000",2.42,"55,700",Ton,227.00,,"12,644,000"
f Miscellaneous,,2017,"12,100",X,X,X,X,,"8,291,000"
"",,2016,"21,100",X,X,X,X,,"19,333,000"
TOTAL,,2017,"1,265,770",,,,,$,"479,766,000"
"",,2016,"1,339,100",,,,,"$  520,553,000",
