Crop,Year,,,Total,Unit,,Total
"",,Acreage,Per Acre,,,Per Unit,
Almonds - Meats,2018,"67,300",1.00,"67,300",Ton,"4,470.00","300,831,000"
"",2017,"67,400",1.02,"68,700",Ton,"4,640.00","318,768,000"
"- Hulls",2018,X,X,"137,000",Ton,72.00,"9,864,000"
"",2017,X,X,"137,000",Ton,72.00,"9,864,000"
Apricots,2018,608,4.38,"2,660",Ton,"2,230.00","5,932,000"
"",2017,638,4.71,"3,000",Ton,"2,410.00","7,230,000"
Blueberries - Fresh,2018,"2,500",6.45,"16,100",Ton,"6,300.00","101,430,000"
"",2017,"1,330",5.45,"7,250",Ton,"5,840.00","42,340,000"
Cherries,2018,"2,740",1.37,"3,750",Ton,"6,180.00","41,715,000"
"",2017,"2,620",1.47,"3,850",Ton,"3,580.00","13,783,000"
Grapes - Total,2018,"51,950",X,X,X,X,"834,378,000"
"",2017,"58,150",X,X,X,X,"904,758,000"
Raisin Varieties,2018,"9,140",13.8,X,X,X,X
"",2017,"10,600",12.00,X,X,X,X
"- Canned",2018,X,X,"26,600",Ton,575.00,"15,295,000"
"",2017,X,X,"16,800",Ton,553.00,"9,290,000"
"- Crusheda",2018,X,X,"6,040",Ton,267.00,"1,613,000"
"",2017,X,X,"7,800",Ton,253.00,"1,973,000"
"- Driedb",2018,X,X,"9,810",Ton,"2,000.00","19,620,000"
"",2017,X,X,"11,100",Ton,"1,800.00","19,980,000"
"- Fresh",2018,X,X,"47,900",Ton,"1,500.00","71,850,000"
"",2017,X,X,"51,000",Ton,"1,200.00","61,200,000"
Table Varieties,2018,"34,400",14.40,X,X,X,X
"",2017,"38,100",11.60,X,X,X,X
"- Crushed",2018,X,X,"65,200",Ton,195.00,"12,714,000"
"",2017,X,X,"49,800",Ton,184.00,"9,163,000"
"- Fresh",2018,X,X,"430,000",Ton,"1,550.00","666,500,000"
"",2017,X,X,"392,000",Ton,"1,920.00","752,640,000"
Wine Varieties Crushedc,2018,"8,410",17.70,"149,000",Ton,314.00,"46,786,000"
"",2017,"9,450",17.40,"164,000",Ton,308.00,"50,512,000"
Grapefruit - Freshd,2018,"2,340",13.40,"31,400",Ton,709.00,"22,263,000"
"",2017,"2,280",15.00,"34,200",Ton,728.00,"24,898,000"
Kiwifruit,2018,"1,840",14.20,"26,100",Ton,"1,460.00","38,106,000"
"",2017,"1,920",13.90,"26,700",Ton,961.00,"25,659,000"
Lemons - Fresh,2018,"9,410",14.00,"132,000",Ton,"1,040.00","137,280,000"
"",2017,"8,900",11.50,"102,000",Ton,"1,680.00","171,360,000"
Nectarines - Fresh,2018,"8,880",7.10,"63,000",Ton,"1,910.00","120,330,000"
"",2017,"9,750",8.30,"80,900",Ton,"1,580.00","127,822,000"
Crop,Year,Acreage,Per Acre,Total,Unit,,Per Unit,Total
Olives,2018,"9,780",4.52,"44,200",Ton,,"1,410.00","62,322,000"
"",2017,"10,600",5.63,"59,700",Ton,,"1,090.00","65,073,000"
Oranges - Navels,2018,"75,800",13.70,"887,000",Ton,,731.00,"648,397,000"
"",2017,"79,500",13.70,"905,000",Ton,,651.00,"589,155,000"
"- Processed",2018,X,X,"150,000",Ton,,213.00,"31,950,000"
"",2017,X,X,"185,000",Ton,,156.00,"28,860,000"
Oranges - Valencia,2018,"14,200",17.00,"202,000",Ton,,655.00,"132,310,000"
"",2017,"15,100",17.70,"213,000",Ton,,680.00,"144,840,000"
"- Processed",2018,X,X,"40,000",Ton,,213.00,"8,520,000"
"",2017,X,X,"36,000",Ton,,225.00,"8,100,000"
Peaches - Cling,2018,"1,140",17.40,"19,800",Ton,,482.00,"9,544,000"
"",2017,"1,270",17.90,"22,700",Ton,,491.00,"11,146,000"
Peaches - Freestone,2018,"10,800",14.50,"157,000",Ton,,"1,740.00","273,180,000"
"",2017,"12,000",12.50,"150,000",Ton,,"2,080.00","243,360,000"
"- Processed",2018,X,X,"34,700",Ton,,603.00,"20,924,000"
"",2017,X,X,"33,300",Ton,,440.00,"14,652,000"
Pears & Asian Pears,2018,23,15.40,354,Ton,,"1,520.00","538,000"
"",2017,197,14.50,"2,860",Ton,,943.00,"2,697,000"
Pecans,2018,877,1.03,903,Ton,,"4,790.00","4,325,000"
"",2017,899,0.71,638,Ton,,"5,200.00","3,318,000"
Persimmons,2018,958,8.14,"7,800",Ton,,803.00,"6,263,000"
"",2017,860,5.83,"5,010",Ton,,740.00,"3,707,000"
Pistachio Nuts,2018,"67,300",1.31,"88,200",Ton,,"4,470.00","394,254,000"
"",2017,"64,800",1.40,"90,700",Ton,,"3,780.00","342,846,000"
Plums & Pluots,2018,"8,150",9.40,"76,600",Ton,,"1,690.00","129,454,000"
"",2017,"8,500",6.14,"52,200",Ton,,"2,340.00","122,148,000"
Pomegranates,2018,"2,820",5.13,"14,500",Ton,,916.00,"13,282,000"
"",2017,"2,860",2.69,"7,690",Ton,,"1,400.00","10,766,000"
Prunes - Dried Plumse,2018,"2,990",3.55,"10,600",Ton,,"1,760.00","18,656,000"
"",2017,"2,980",2.50,"7,450",Ton,,"2,120.00","15,794,000"
Quince,2018,97,7.09,688,Ton,,"2,000.00","1,376,000"
"",2017,117,5.81,680,Ton,,"1,770.00","1,204,000"
Tangerinesf,2018,"28,500",11.90,"339,000",Ton,,"1,510.00","511,890,000"
"",2017,"25,800",10.30,"266,000",Ton,,"1,740.00","462,840,000"
Walnuts,2018,"43,500",2.27,"98,700",Ton,,"2,280.00","225,036,000"
"",2017,"42,900",1.57,"67,400",Ton,,"2,120.00","142,888,000"
Miscellaneousg,2018,417,X,X,,X,X,"1,467,000"
"",2017,720,X,X,,X,X,"24,508,000"
